지역,가맹점명,분류,주소,Latitude,Longitude
경기,덕우볼링장,체육시설,경기도 부천시 오정구 삼정동 314,37.5160676,126.7703716
경기,텐텐볼링,체육시설,경기도 부천시 원미구 부흥로303번길36 201호,37.4963246,126.7762174
경기,리 탁구교실,체육시설,경기도 부천시 원미구 원미로126 303,37.493816,126.7914341
경기,주식회사 블루마린,체육시설,경기도 부천시 원미구 중동로168 지하08호,37.4941355,126.7681066
경기,키즈앤맘,관광지,경기도 성남시 분당구 내정로166번길 7-6,37.3729184,127.1205679
경기,아쿠아짐,체육시설,경기도 성남시 판교로 478 금강프라자,37.3985507,127.1068146
경기,성남AMF볼링장,체육시설,경기도 성남시 수정구 모란로 46,37.4372128,127.1269341
경기,수탁구,체육시설,경기도 성남시 수정구 복정로 92-1 지하층,37.4611916,127.1270137
경기,오션차일드,체육시설,경기도 성남시 수정구 위례광장로 21-12 지하층 101호,37.477447,126.980771
경기,신구스포츠센터(키즈엠),체육시설,경기도 성남시 중원구 성남대로 1000 센트럴타운 314동 802호,37.4298374,127.1291237
경기,서호스포츠센터(서호노인복지관),체육시설,경기도 수원시 권선구 구운로4번길 34,37.2785612,126.9757335
경기,세원볼링장,체육시설,경기도 수원시 권선구 금호로 28 395-2,37.2684575,126.9547067
경기,주식회사 아이풀 권선지점,체육시설,경기도 수원시 권선구 동수원로 218-39,37.2487104,127.0359572
경기,킹덤볼링장,체육시설,경기도 수원시 영통구 반달로7번길 40 평익칼라스위트 3층,37.253518,127.0752001
경기,광교볼링장,체육시설,경기도 수원시 장안구 월드컵로 441 지하층 광교프라자,37.2938189,127.0245838
경기,스카이빌,숙박,"경기도 안성시 원곡면 만세로 1109-12375-2,3,4,378-7",37.0465659,127.1573715
경기,영집궁시박물관,미술,경기도 파주시 탄현면 국원말길 168,37.7848417,126.711451
경기,삼천리자전거 금촌금릉점,체육용품,"경기도 파주시 금빛로 15 미라클프라자 1층, 113호",37.4437368,127.1683758
경기,삼천리자전거 산본중앙점,체육용품,경기도 군포시 산본천로 99 디퍼아울렛타운 1층,37.3634477,126.9325352
경기,삼천리자전거 김포점,체육용품,경기도 김포시 사우중로 27,37.6179121,126.7175171
경기,휴포토,미술,"경기도 오산시 경기대로 25번길 16, 103-1505(갈곶동,동부아파트)",37.1300939,127.069352
경기,청평마루승마클럽,체육시설,경기도 가평군 청평면 양진길 155,37.727687,127.4880601
경기,토이키즈 스윔클럽,체육시설,경기도 고양시 덕양구 고양대로 1399 대성빌딩지하층전체,37.6540209,126.8396996
경기,아라어린이수영장,체육시설,경기도 고양시 덕양구 신원로 40-8 4층,37.2491269,127.0462229
경기,오즈키즈워터파크,관광지,경기도 고양시 덕양구 호국로 1142 (원당동),37.6847577,126.8497896
경기,주식회사 야누스,체육시설,경기도 고양시 일산동구 고봉로 32-30 덕진프라자 3층,37.6636605,126.7664198
경기,레이크볼링장,체육시설,경기도 고양시 일산서구 주엽동 83 강선마을12단지 상가동 지하2층 에스01호,37.6678797,126.7647653
경기,광명탁구회관,체육시설,경기도 광명시 광명동 352-14 로얄프라자지하2층1호,37.4735213,126.8489286
경기,위드볼링장,체육시설,"경기도 광명시 철산로30번길 14 지하1층 (철산동,덕수빌딩)",37.4749886,126.8696903
경기,대성리원두막캠프,관광지,경기도 가평군 청평면 모꼬지로 96 원두막캠프,37.685444,127.3698723
경기,사단법인 한국문화예술산업진흥회 경기남부지회,공연,경기도 용인시 수지구 신수로767 유타워 738호,37.3380746,127.1016467
경기,놀숲 수원경기대점,도서,경기도 수원시 영통구 대학로 16 4층,37.3035297,127.0452024
경기,의정부영창피아노,음악,경기도 의정부시 태평로 119,37.743172,127.0513072
경기,동일책문고,도서,경기도 화성시 봉담읍 동화길 84 상가동 2층,37.2163644,126.9566889
경기,삼천리자전거 팀바이크,체육용품,"경기도 성남시 분당구 야탑로 72 (야탑동,에이스주차빌딩1층2호)",37.4095419,127.1268114
경기,삼천리자전거 안양점,체육용품,경기도 안양시 만안구 안양로 346,37.4024768,126.918714
경기,삼천리자전거 성복점,체육용품,경기도 용인시 수지구 성복2로76번길 26-3 드림타워 B-206,37.3152504,127.0807554
경기,스마트 자전거 동수원점,체육용품,경기도 수원시 팔달구 중부대로170번길 17,37.276274,127.0353386
경기,더스튜디오,미술,경기도 파주시 탄현면 헤이리마을길 72 아트센터 화이트블록 지하1층,37.7888911,126.6995973
경기,거산도예,문화체험,경기도 여주시 여양로 223,37.3735142,127.5893231
경기,아이엘스튜디오,미술,경기도 오산시 경기대로 189 오산메딕프라자2층3호,37.1582143,127.0617026
경기,주식회사 명진,교통수단,경기도 용인시 기흥구 갈천로 7번길 45-8 1층,37.2705274,127.1048024
경기,(주)성바오르딸수도회,도서,경기도 의정부시 신흥로 261 의정부교부청 1층 (의정부동),37.7395101,127.0425961
경기,STUDIO 176,미술,경기도 의정부시 의정부동 176-6,37.7393315,127.0489101
경기,귀한농부학교 영농조합법인,관광지,경기도 파주시 법원읍 금곡리 422,37.882671,126.8722407
경기,수도스포츠,체육용품,"경기도 의정부시 시민로 131번길 57,2층",37.7406488,127.0495899
경기,센트럴땡큐사진관,미술,"경기도 의정부시 시민로 80,191호",37.7354662,127.0631911
경기,극단즐거운사람들,공연,경기도 양주시 광적면 부흥로618번길 303 양주문화예술회관 2층 극단즐거운사람들,37.8131434,126.9721575
경기,비트로스포츠,체육용품,"경기도 오산시 오산천로260, 1층 102호(오산동)",37.1551902,127.0698964
경기,디제이스튜디오(대진사진관 중앙로점),미술,경기도 의정부시 행복로 25(의정부동),37.7409641,127.0491297
경기,시흥문고,도서,경기도 시흥시 대은로 100(은행동 528-1),37.4452465,126.799374
경기,와부체육문화센터,체육시설,경기도 남양주시 와부읍 월문천로 51 와부체육문화센터,37.5855385,127.217138
경기,삼천리자전거 팽성점,체육용품,경기도 평택시 팽성읍 안정쇼핑로 47-1,36.9617417,127.0470414
경기,삼천리자전거 태평점,체육용품,경기도 성남시 수정구 성남대로 1225 강원빌딩,37.4391642,127.1274863
경기,다산동2동 주민자치위원회,문화체험,"경기도 남양주시 다산지금로 16번길75, 지금동 종합행정타운2층 주민자치위원회 운영사무실",37.6258664,127.1549411
경기,달한복,문화체험,경기도 의정부시 태평로73번길 20 의정부제일시장 가동 53호,37.7397326,127.0503901
경기,공손서점,도서,경기도 성남시 분당구 돌마로 478 1층 (서현동),37.3877922,127.1472393
경기,광명스포츠,체육용품,경기도 광명시 오리로887 보보스텔상가 101호,37.4760829,126.8641325
경기,글이야기,도서,"경기도 구리시 안골로 40, 1층 106호(교문동)",37.5969274,127.1355316
경기,연성문고,도서,경기도 시흥시 진말로9번길 2 부석프라자 1층 (장곡동),37.3784232,126.7852594
경기,아이야스튜디오,미술,경기도 평택시 평택동 37-3,36.9937452,127.0874019
경기,알라딘 중고서점 동탄점,도서,경기도 화성시 동탄중앙로 200 메타폴리스 센터포인트몰 B블럭 4층,37.2037723,127.0686308
경기,기억하고싶은날엔 스튜디오,미술,경기도 화성시 효행로 1059 미래프라자 404호,37.2146535,127.0427432
경기,삼천리자전거 부천역점,체육용품,경기도 부천시 부천로 79 세상빌딩,37.4913961,126.7840811
경기,삼천리자전거 인덕원점,체육용품,경기도 안양시 동안구 관악대로 421-1,37.4051019,126.9698184
경기,나래문고,도서,경기도 화성시 동탄지성로 125 토마토프라자 202,37.2330817,127.064995
경기,추동 배드민턴장,체육시설,경기도 의정부시 능곡로 26번길 28-40,37.7398431,127.062387
경기,진접체육문화센터,체육시설,경기도 남양주시 진접읍 금강로 1509-24,37.725534,127.1912073
경기,종로주단,문화체험,경기도 의정부시 태평로73번길 20 의정부제일시장 가동 34호,37.7397326,127.0503901
경기,황실한복,문화체험,"경기도 의정부시 태평로73번길 20 나동 27호 (의정부동, 제일시장)",37.7397326,127.0503901
경기,삼천리자전거 풍동점,체육용품,경기도 고양시 일산동구 숲속마을1로 50,37.6653515,126.8001148
경기,삼천리자전거 신일점,체육용품,경기도 시흥시 신천로 81 1층 102호,37.4375561,126.7857901
경기,삼천리자전거 상하점,체육용품,"경기도 용인시 기흥구 어정로 83 산오리요리전문점 (상하동 466-3, 468-3, 466-5, 6호 전체)",37.2742023,127.1389761
경기,삼천리자전거 동탄2시범단지점,체육용품,경기도 화성시 지산2길 4-19 (영천동),37.2058535,127.1129513
경기,삼천리자전거 장안점,체육용품,경기도 수원시 장안구 장안로 295-3 (정자동),37.2994024,126.9973239
경기,우만2동주민자치위원회,문화체험,경기도 수원시 팔달구 중부대로 207번길 33(우만동),37.2778832,127.0397473
경기,세류3동주민자치센터,문화체험,경기도 수원시 권선구 정조로 557 세류3동주민센터,37.259017,127.011919
경기,광교1동 주민자치회,문화체험,경기도 수원시 영통구 도청로 89번길 20,37.2888873,127.0480197
경기,광교2동 주민자치위원회,문화체험,경기도 수원시 영통구 법조로149번길 155,37.2905527,127.0712908
경기,매산동주민자치위원회,문화체험,경기도 수원시 팔달구 매산로 41,37.2686974,127.0056822
경기,영통1동주민자치위원회(문화센터),문화체험,경기도 수원시 영통구 봉영로1759번길 23 영통1동주민센터,37.2663002,127.0805514
경기,의정부문화원,문화체험,경기도 의정부시 산단로 123,37.7463779,127.0793897
경기,오산기독교백화점,도서,"경기도 오산시 역광장로30, 1층",37.142935,127.0672347
경기,오페라연수원,숙박,경기도 가평군 청평면 고재길 262-21,37.7035379,127.5150616
경기,평내동주민자치센터,문화체험,경기도 남양주시 경춘로 1268(평내동 588-2),37.6482514,127.2360566
경기,삼천리자전거 우조대리점,체육용품,경기도 김포시 북변동 182-13,37.6299274,126.7043583
경기,삼천리자전거 안중점,체육용품,경기도 평택시 안중읍 안중로 24,36.9836911,126.9251393
경기,삼천리자전거 서수원점,체육용품,경기도 수원시 권선구 매송고색로 646 1층,37.2488808,126.9753532
경기,삼천리자전거 석정점,체육용품,경기도 안성시 중앙로 274-14(석정동),37.0072974,127.2645887
경기,삼천리자전거 구래지구점,체육용품,경기도 김포시 김포한강9로12번길 7-21,37.6426035,126.6787744
경기,삼천리자전거 고읍점,체육용품,경기도 양주시 부흥로 1935 1층 108호,37.7949618,127.0771419
경기,삼천리자전거 고강태양점,체육용품,경기도 부천시 오정구 역곡로491 1층,37.5285544,126.8157242
경기,삼천리자전거 남양점,체육용품,"경기도 화성시 남양읍 남양성지로 183 1층, 101호",37.2114799,126.8221662
경기,애니타임포토,미술,"경기도 김포시 김포한강9로 76번길 47, 4층 403호",37.6426035,126.6787744
경기,진접읍주민자치위원회,문화체험,경기도 남양주시 진접읍 금강로 1509-23,37.725534,127.1912073
경기,양정동 주민자치위원회,문화체험,경기도 남양주시 홍유릉로 55,37.6163351,127.1871516
경기,잭스튜디오,미술,경기도 김포시 김포한강9로76번길 41 연세프라자 10층,37.6426035,126.6787744
경기,(주) 에이엠렌트카,교통수단,경기도 고양시 일산동구 백마로 195 에스케이엠시티오피스,37.6546305,126.7710671
경기,PHOTO-BK,미술,경기도 안양시 만안구 안양로170번길 14 신라아파트 B1,37.3894099,126.9303277
경기,영기획,공연,경기도 구리시 이문안로136번길 22(토평동) 204호,37.5900786,127.146061
경기,신안산대학교 구내서점,도서,경기도 안산시 단원구 신안산대학로 135 (초지동),37.3125,126.8063867
경기,풀하우스쎈트럴,미술,경기도 안산시 단원구 예술대학로 20 103,37.3187209,126.8372407
경기,휴스튜디오,미술,경기도 안산시 단원구 예술대학로 89,37.3248694,126.8371121
경기,J모텔,숙박,경기도 안산시 단원구 와동 735-1번지 J모텔,37.3336489,126.8228612
경기,주)라성,숙박,경기도 안산시 단원구 원곡1동 846-3,37.327922,126.7969385
경기,야마하뮤직안산,음악,"경기도 안산시 단원구 원곡동 화랑로 51 101,102,201호",37.3298392,126.7967052
경기,삼성카메라 스튜디오,미술,경기도 안산시 단원구 원곡동 747-10,37.330775,126.7924125
경기,아카데미사진관,미술,경기도 안산시 단원구 원곡동 755-6,37.3304513,126.7931873
경기,원곡모텔,숙박,경기도 안산시 단원구 원곡동 786-10,37.3297354,126.7890046
경기,라망스튜디오안산점,미술,경기도 안산시 단원구 중앙대로 829 103 104호,37.3175532,126.8282027
경기,꾸러기음악사,음악,경기도 안산시 단원구 중앙대로 915 월드코아 2층 68호 (고잔2동),37.3171327,126.8382873
경기,주식회사 브랜드관광(허니문나라),여행사,경기도 안산시 단원구 초지동 742-10 메가쇼핑2 102호,37.3015913,126.813146
경기,스튜디오 아일락,미술,경기도 안산시 단원구 한양대학로206 2층,37.3133706,126.8367128
경기,평고서점,도서,경기도 평택시 비전동 무지개공원2길 1,36.9907063,127.1084688
경기,현대서점,도서,경기도 평택시 비전동 602-1,36.996213,127.0949927
경기,결만사 사진관,미술,경기도 평택시 비전동 통복시장2로 64-7,36.9949394,127.0898883
경기,서정리역,교통수단,경기도 평택시 서정동 427,37.0562651,127.052782
경기,해바라기사진관,미술,경기도 평택시 세교로 47 1층4호,37.0043948,127.0805129
경기,오로라칼라현상소,미술,경기도 평택시 신장동 302-178,37.0798051,127.0500959
경기,스튜디오 봄날,미술,경기도 평택시 안중로 143 301호 (안중리),36.9855234,126.9302626
경기,현화문고,도서,"경기도 평택시 안중읍 안현로서8길 57, 101~102호 (현화리)",36.9788738,126.9190981
경기,메이트렌터카 주식회사,교통수단,경기도 평택시 안중읍 용성리718-2,37.0028227,126.9453352
경기,안중서점,도서,경기도 평택시 안중읍 안현로서8길 57 붐붐프라자,36.9786888,126.9191027
경기,가나서점,도서,경기도 성남시 수정구 태평동 제일로 215-1,37.4453339,127.1294763
경기,예가스튜디오,미술,경기도 성남시 수정구 태평동 3794-1 지층,37.4456328,127.1343483
경기,리스튜디오,미술,경기도 성남시 수정구 태평동6510,37.4400977,127.1283629
경기,미래포토스튜디오,미술,경기도 성남시 중원구 금상로24,37.4379036,127.1600923
경기,백년장여관,숙박,"경기도 성남시 중원구 둔촌대로375번길 7,(상대원2동)",37.4338445,127.1583489
경기,성남기독교백화점,도서,경기도 성남시 중원구 산성대로382번길 3 (금광2동),37.4460955,127.1579789
경기,희영서점,도서,경기도 성남시 중원구 금광동 1797,37.4464088,127.1669691
경기,모텔휴,숙박,경기도 성남시 중원구 상대원2동 5420번지,37.4338803,127.1585689
경기,에이브이포토사인,미술,경기도 성남시 중원구 상대원동 2992-19호,37.4394865,127.1613233
경기,토이카메라스튜디오,미술,경기도 용인시 수지구 고기로 641 (고기동),37.3548549,127.0391752
경기,감성스냅 담율,미술,경기도 용인시 수지구 동천로 93 301동 102호,37.3383055,127.0937324
경기,광교서점,도서,경기도 용인시 수지구 상현동 광교 마을로 54 에스비타운 206호,37.2964591,127.0715785
경기,수지상현문고,도서,경기도 용인시 수지구 상현로 114,37.3071195,127.0844168
경기,포토제니 수지점,미술,경기도 용인시 수지구 수지로296번길 51-8 105,37.321536,127.0950812
경기,신봉문고,도서,"경기도 용인시 수지구 신봉1로 81, 101호 (신봉동)",37.3232472,127.0761967
경기,가온베베스튜디오,미술,경기도 용인시 수지구 용구대로 2767-1,37.3323228,127.1082584
경기,주식회사 단비,도서,"경기도 용인시 수지구 죽전1동 단국대학교학생회관(혜당관)2층,구내서점",37.3292538,127.1218839
경기,개똥이네 죽전점,도서,경기도 용인시 수지구 죽전1동 452 그린피아 상가2층 206호,37.3270466,127.1126413
경기,(주) 수렌트카,교통수단,경기도 용인시 수지구 죽전동 죽전로 136 월드프라자 203,37.3318407,127.1196872
경기,(주)제일관광,여행사,"경기도 안산시 상록구 광덕4로 357, 201호",37.3114865,126.85064
경기,현대파크,숙박,경기도 안산시 상록구 도매시장로 8,37.3079519,126.8571824
경기,W모텔,숙박,경기도 안산시 상록구 본오1동 948-6,37.2872282,126.8630635
경기,사진관,미술,경기도 안산시 상록구 본오2동871 126-106,37.2949451,126.8651422
경기,부곡파크장,숙박,경기도 안산시 상록구 부곡동 538-3,37.3321303,126.8633711
경기,안산대동서적(주),도서,경기도 안산시 상록구 사동 석호로235,37.2939852,126.8566967
